image_name,type,cellprob_threshold,channel_axis,channel_nuclei,channel_segment,diameter,do_3D,flow_threshold,interp,invert,max_size_fraction,min_size,model_name,niter,norm3D,normalize,percentile_max,percentile_min,sharpen_radius,smooth_radius,stitch_threshold,tile_norm_blocksize,tile_norm_smooth3D,tile_overlap,duration,are,precision,recall,f1,jaccard,jaccard_cellpose
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,104.37879061698914,0.8070445150949519,0.3005305874129504,0.14209315541351816,0.19295548490504807,0.0012869061410929533,0.0012869061410929533
20240305_P013T_A001a_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,7.752397537231445,0.8619326317295557,0.3454517817533972,0.08627441325660032,0.1380673682704443,0.007840447079224369,0.007840447079224369
20240305_P013T_A005_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,7.5987021923065186,0.6209404888154934,0.8407218909399687,0.24469247379012954,0.3790595111845067,0.0007292475512437904,0.0007292475512437904
20240305_P013T_A006_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,36.74392342567444,0.8904701173388114,0.5504030337219877,0.060816128366023,0.10952988266118853,0.0012604105597758802,0.0012604105597758802
20240305_P013T_B005_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,16.703343391418457,0.8360999119946435,0.7407722058871279,0.09214370490326405,0.16390008800535658,0.0012541166927400196,0.0012541166927400196
20240305_P013T_B007a_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,11.789180755615234,0.9337941284040948,0.670684092145184,0.03482162579927153,0.06620587159590514,0.0021592280032504507,0.0021592280032504507
20240305_P013T_D004_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,61.61158347129822,0.7919624121787326,0.6471028173900915,0.12394187950851476,0.20803758782126738,0.0011063538726384565,0.0011063538726384565
20240305_P013T_A001a_cropped_isotropic,Membranes,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,False,99.0,0.0,0,1.0,0.75,0,1,0.0,12.26349949836731,0.8632340101207668,0.19025769165479825,0.10675218988284485,0.1367659898792332,0.004996796960410652,0.004996796960410652
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,True,True,99.0,0,0,1.0,0.75,0,1,0.0,48.30156993865967,0.7919286155955334,0.5233506117814949,0.12984785567797608,0.20807138440446662,0.023097265652325286,0.023097265652325286
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0,0,1.0,0.75,0,1,0.0,48.30235433578491,0.7919286155955334,0.5233506117814949,0.12984785567797608,0.20807138440446662,0.023097265652325286,0.023097265652325286
