image_name,type,cellprob_threshold,channel_axis,channel_nuclei,channel_segment,diameter,do_3D,flow_threshold,interp,invert,max_size_fraction,min_size,model_name,niter,norm3D,normalize,percentile_max,percentile_min,sharpen_radius,smooth_radius,stitch_threshold,tile_norm_blocksize,tile_norm_smooth3D,tile_overlap,duration,are,precision,recall,f1,jaccard,jaccard_cellpose
20240305_P013T_B005_cropped_isotropic,Nuclei,0.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,14.033676624298096,0.057941831587481785,0.9115427419241935,0.9746874709122892,0.9420581684125183,0.6151402748236857,0.6084198211605211
20240305_P013T_B005_cropped_isotropic,Nuclei,1.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,12.194313526153564,0.07120838387739736,0.8918650774883397,0.9689080197437344,0.9287916161226027,0.6348850753957554,0.6285650113424522
20240305_P013T_B005_cropped_isotropic,Nuclei,2.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,11.962538242340088,0.0887567331220861,0.8686105378030613,0.9582769606497922,0.9112432668779139,0.653016212669567,0.6474416116954894
20240305_P013T_B005_cropped_isotropic,Nuclei,3.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,12.10087513923645,0.11465341264108087,0.8385121499473287,0.9377223315243263,0.8853465873589191,0.6689526573260635,0.6642729609355073
20240305_P013T_B005_cropped_isotropic,Nuclei,4.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,12.146555185317993,0.14711754922922504,0.8064544304455947,0.9049828031165591,0.8528824507707751,0.6808558706866927,0.6775999345027325
20240305_P013T_B005_cropped_isotropic,Nuclei,5.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,12.033331632614136,0.19147507921806273,0.7687165845873365,0.8526814136453004,0.8085249207819373,0.6870448905405993,0.6857244866964728
20240305_P013T_B005_cropped_isotropic,Nuclei,6.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,12.30282998085022,0.2497654832741143,0.7259194970696712,0.7762348739188892,0.7502345167258857,0.6861562841174059,0.6874837280155103
20240305_P013T_B005_cropped_isotropic,Nuclei,7.5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,13.483396530151367,0.36238132285620217,0.6518776863196059,0.6239701112720463,0.6376186771437978,0.6637619421502342,0.6674925205684368
20240305_P013T_B005_cropped_isotropic,Nuclei,9.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,13.664788961410522,0.5211792973744656,0.5727855935323007,0.41134068403363,0.4788207026255344,0.6069180426549318,0.6109507976695239
20240305_P013T_B005_cropped_isotropic,Nuclei,10.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,14.394432067871094,0.58152373628933,0.5521339318021125,0.3369171405486639,0.41847626371067004,0.5756050511627685,0.5906324705236154
